Part Number,Manufacturer,link to header file,Include file,Header 3,Example,Datasheet,Appli Note,Other link,Family,Comments,SubFamily,Date the line is added or modified,NickName,Name ,Micro Description,MicroDef,Hidden(Ride Internal Use),MicroRef,CoreName
EFM32GG940F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG940F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG940F1024.sim,No,,Cortex-M3 
EFM32GG940F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG940F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG940F512.sim,No,,Cortex-M3 
EFM32GG895F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG895F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG895F1024.sim,No,,Cortex-M3 
EFM32GG895F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG895F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG895F512.sim,No,,Cortex-M3 
EFM32GG890F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG890F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG890F1024.sim,No,,Cortex-M3 
EFM32GG890F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG890F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG890F512.sim,No,,Cortex-M3 
EFM32GG880F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG880F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG880F1024.sim,No,,Cortex-M3 
EFM32GG880F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG880F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG880F512.sim,No,,Cortex-M3  
EFM32GG842F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG842F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG842F1024.sim,No,,Cortex-M3 
EFM32GG842F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG842F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG842F512.sim,No,,Cortex-M3  
EFM32GG840F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG840F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG840F1024.sim,No,,Cortex-M3 
EFM32GG840F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG840F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG840F512.sim,No,,Cortex-M3  
EFM32GG395F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG395F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG395F1024.sim,No,,Cortex-M3 
EFM32GG395F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG395F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG395F512.sim,No,,Cortex-M3  
EFM32GG390F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG390F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG390F1024.sim,No,,Cortex-M3 
EFM32GG390F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG390F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG390F512.sim,No,,Cortex-M3  
EFM32GG380F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG380F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG380F1024.sim,No,,Cortex-M3 
EFM32GG380F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG380F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG380F512.sim,No,,Cortex-M3  
EFM32GG332F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG332F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG332F1024.sim,No,,Cortex-M3 
EFM32GG332F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG332F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG332F512.sim,No,,Cortex-M3  
EFM32GG330F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG330F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG330F1024.sim,No,,Cortex-M3 
EFM32GG330F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG330F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG330F512.sim,No,,Cortex-M3  
EFM32GG295F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG295F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG295F1024.sim,No,,Cortex-M3 
EFM32GG295F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG295F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG295F512.sim,No,,Cortex-M3  
EFM32GG290F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG290F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG290F1024.sim,No,,Cortex-M3 
EFM32GG290F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG290F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG290F512.sim,No,,Cortex-M3  
EFM32GG280F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG280F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG280F1024.sim,No,,Cortex-M3 
EFM32GG280F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG280F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG280F512.sim,No,,Cortex-M3  
EFM32GG232F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG232F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG232F1024.sim,No,,Cortex-M3 
EFM32GG232F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG232F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG232F512.sim,No,,Cortex-M3  
EFM32GG230F1024 ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG230F1024,Cortex-M3 ARM 32-bit MCU; 1MB Flash 128KB RAM,\sim\ARM\EFM32GG230F1024.sim,No,,Cortex-M3  
EFM32GG230F512 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32GECKO_GIANT,05/07/2013,,EFM32GG230F512,Cortex-M3 ARM 32-bit MCU; 512KB Flash 128KB RAM,\sim\ARM\EFM32GG230F512.sim,No,,Cortex-M3  
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
EFM32LGxxxF256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LGxxxF256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LGxxxF256.sim,No,,Cortex-M3 
EFM32LGxxxF128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LGxxxF128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LGxxxF128.sim,No,,Cortex-M3 
EFM32LGxxxF64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LGxxxF64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LGxxxF64.sim,No,,Cortex-M3 
EFM32LG995F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG995F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG995F256.sim,No,,Cortex-M3 
EFM32LG995F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG995F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG995F128.sim,No,,Cortex-M3 
EFM32LG995F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG995F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG995F64.sim,No,,Cortex-M3 
EFM32LG990F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG990F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG990F256.sim,No,,Cortex-M3 
EFM32LG990F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG990F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG990F128.sim,No,,Cortex-M3 
EFM32LG990F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG990F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG990F64.sim,No,,Cortex-M3 
EFM32LG980F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG980F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG980F256.sim,No,,Cortex-M3 
EFM32LG980F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG980F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG980F128.sim,No,,Cortex-M3 
EFM32LG980F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG980F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG980F64.sim,No,,Cortex-M3 
EFM32LG942F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG942F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG942F256.sim,No,,Cortex-M3 
EFM32LG942F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG942F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG942F128.sim,No,,Cortex-M3 
EFM32LG942F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG942F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG942F64.sim,No,,Cortex-M3 
EFM32LG940F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG940F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG940F256.sim,No,,Cortex-M3 
EFM32LG940F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG940F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG940F128.sim,No,,Cortex-M3 
EFM32LG940F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG940F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG940F64.sim,No,,Cortex-M3 
EFM32LG895F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG895F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG895F256.sim,No,,Cortex-M3 
EFM32LG895F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG895F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG895F128.sim,No,,Cortex-M3 
EFM32LG895F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG895F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG895F64.sim,No,,Cortex-M3 
EFM32LG890F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG890F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG890F256.sim,No,,Cortex-M3 
EFM32LG890F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG890F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG890F128.sim,No,,Cortex-M3 
EFM32LG890F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG890F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG890F64.sim,No,,Cortex-M3 
EFM32LG880F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG880F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG880F256.sim,No,,Cortex-M3 
EFM32LG880F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG880F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG880F128.sim,No,,Cortex-M3  
EFM32LG880F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG880F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG880F64.sim,No,,Cortex-M3  
EFM32LG842F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG842F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG842F256.sim,No,,Cortex-M3 
EFM32LG842F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG842F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG842F128.sim,No,,Cortex-M3  
EFM32LG842F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG842F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG842F64.sim,No,,Cortex-M3  
EFM32LG840F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG840F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG840F256.sim,No,,Cortex-M3 
EFM32LG840F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG840F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG840F128.sim,No,,Cortex-M3  
EFM32LG840F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG840F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG840F64.sim,No,,Cortex-M3  
EFM32LG395F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG395F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG395F256.sim,No,,Cortex-M3 
EFM32LG395F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG395F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG395F128.sim,No,,Cortex-M3  
EFM32LG395F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG395F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG395F64.sim,No,,Cortex-M3  
EFM32LG390F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG390F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG390F256.sim,No,,Cortex-M3 
EFM32LG390F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG390F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG390F128.sim,No,,Cortex-M3  
EFM32LG390F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG390F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG390F64.sim,No,,Cortex-M3  
EFM32LG380F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG380F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG380F256.sim,No,,Cortex-M3 
EFM32LG380F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG380F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG380F128.sim,No,,Cortex-M3  
EFM32LG380F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG380F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG380F64.sim,No,,Cortex-M3  
EFM32LG332F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG332F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG332F256.sim,No,,Cortex-M3 
EFM32LG332F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG332F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG332F128.sim,No,,Cortex-M3  
EFM32LG332F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG332F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG332F64.sim,No,,Cortex-M3  
EFM32LG330F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG330F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG330F256.sim,No,,Cortex-M3 
EFM32LG330F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG330F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG330F128.sim,No,,Cortex-M3  
EFM32LG330F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG330F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG330F64.sim,No,,Cortex-M3  
EFM32LG295F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG295F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG295F256.sim,No,,Cortex-M3 
EFM32LG295F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG295F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG295F128.sim,No,,Cortex-M3  
EFM32LG295F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG295F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG295F64.sim,No,,Cortex-M3  
EFM32LG290F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG290F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG290F256.sim,No,,Cortex-M3 
EFM32LG290F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG290F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG290F128.sim,No,,Cortex-M3  
EFM32LG290F64 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG290F64,Cortex-M3 ARM 32-bit MCU; 64KB Flash 128KB RAM,\sim\ARM\EFM32LG290F64.sim,No,,Cortex-M3  
EFM32LG280F256  ,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG280F256,Cortex-M3 ARM 32-bit MCU; 256KB Flash 128KB RAM,\sim\ARM\EFM32LG280F256.sim,No,,Cortex-M3 
EFM32LG280F128 	,EM,,,,,http://www.energymicro.com,,,ARM,,EFM32LEOPARD_GECKO,08/08/2013,,EFM32LG280F128,Cortex-M3 ARM 32-bit MCU; 128KB Flash 128KB RAM,\sim\ARM\EFM32LG280F128.sim,No,,Cortex-M3  
